pass,keyword,segmento,intencion,encaje,busquedas_mes,competencia,idx_comp,cpc_usd,puja_baja,puja_alta,var_anual_pct,pico_mes,variantes,otras_variantes,tags
en_world,"find vessel",OTRO,GENERICA,EXCLUIR,450000,LOW,1,2503.84,371.72,2906.15,29,6,1,"","url:gac.com url:24marine.com"
en_world,"panama canal",INFO_CANAL,INFORMACIONAL,EXCLUIR,368000,LOW,3,4276.95,742.24,4703.81,-50,1,2,"panama and the canal","url:adimarships.com url:panamashipservice.com url:gac.com url:lethagencies.com url:orcashipsagents.com"
en_world,"panama canal panama canal",INFO_CANAL,INFORMACIONAL,BLOG_GENERAL,368000,LOW,3,4276.95,742.24,4703.81,-50,1,1,"","url:adimarships.com url:panamashipservice.com url:gac.com url:lethagencies.com url:orcashipsagents.com"
en_world,"panama canal panama",INFO_CANAL,INFORMACIONAL,BLOG_GENERAL,368000,LOW,3,4276.95,742.24,4703.81,-50,1,4,"panama panama canal | panama canal in panama | panama and panama canal","url:adimarships.com url:panamashipservice.com url:gac.com url:lethagencies.com url:orcashipsagents.com"
en_world,"panama canal canal",INFO_CANAL,INFORMACIONAL,BLOG_GENERAL,368000,LOW,3,4276.95,742.24,4703.81,-50,1,1,"","url:adimarships.com url:panamashipservice.com url:lethagencies.com url:orcashipsagents.com"
en_world,"panama cl",OTRO,COMERCIAL,EXCLUIR,368000,LOW,3,4276.95,742.24,4703.81,-50,1,1,"","url:adimarships.com url:panamashipservice.com url:lethagencies.com url:orcashipsagents.com"
en_world,"panamanian canal",INFO_CANAL,INFORMACIONAL,EXCLUIR,368000,LOW,3,4276.95,742.24,4703.81,-50,1,1,"","url:lethagencies.com url:orcashipsagents.com"
en_world,"panama city panama canal",INFO_CANAL,INFORMACIONAL,EXCLUIR,368000,LOW,3,4308.83,747.77,4738.86,-50,1,1,"","url:orcashipsagents.com"
en_world,"vessel tracking",OTRO,GENERICA,EXCLUIR,201000,LOW,3,2808.27,347.60,3201.34,16,4,1,"","url:gac.com"
en_world,"agency marketing",FUERA,COMERCIAL,EXCLUIR,135000,LOW,20,24596.84,2506.54,31301.25,-25,2,5,"marketing agency | a marketing agency | agency for marketing","url:crossworldagency.com"
en_world,"marketing agency marketing agency",FUERA,COMERCIAL,EXCLUIR,135000,LOW,20,24596.84,2506.54,31301.25,-25,2,1,"","url:crossworldagency.com"
en_world,"shipping services",OTRO,COMERCIAL,EXCLUIR,110000,LOW,15,20999.22,3739.57,36208.49,52,9,1,"","url:adimarships.com url:gac.com url:lethagencies.com"
en_world,"ship services",OTRO,COMERCIAL,EXCLUIR,110000,LOW,15,20999.22,3739.57,36208.49,52,9,2,"ships services","url:panamashipservice.com"
en_world,"ship container ship",OTRO,GENERICA,EXCLUIR,110000,HIGH,99,13171.54,3971.66,18679.25,-15,10,1,"","url:orcashipsagents.com"
en_world,"imo testing",OTRO,GENERICA,EXCLUIR,110000,LOW,0,7395.45,610.22,9654.82,17482,5,1,"","url:24marine.com"
en_world,"cargo vessel ship",OTRO,GENERICA,REVISAR,90500,LOW,2,12738.91,1409.79,15171.63,-36,6,1,"","url:adimarships.com url:orcashipsagents.com"
en_world,"cargo ship",OTRO,GENERICA,EXCLUIR,90500,LOW,2,12833.84,1420.30,15284.68,-36,6,3,"cargo in ship | cargo of ship","url:orcashipsagents.com"
en_world,"cargo ship cargo ship",OTRO,GENERICA,EXCLUIR,90500,LOW,2,12833.84,1420.30,15284.68,-36,6,1,"","url:orcashipsagents.com"
en_world,"ship cargo ship",OTRO,GENERICA,EXCLUIR,90500,LOW,2,12833.84,1420.30,15284.68,-36,6,1,"","url:orcashipsagents.com"
en_world,"ship as cargo",OTRO,GENERICA,REVISAR,90500,LOW,2,12833.84,1420.30,15284.68,-36,6,1,"","url:orcashipsagents.com"
en_world,"ship with cargo",OTRO,GENERICA,REVISAR,90500,LOW,2,12833.84,1420.30,15284.68,-36,6,1,"","url:orcashipsagents.com"
en_world,"freight forwarding agency",FUERA,COMERCIAL,EXCLUIR,74000,LOW,25,19719.81,2305.50,22295.80,-1,3,1,"","agencia"
en_world,"towage company",OTRO,COMERCIAL,EXCLUIR,74000,MEDIUM,40,27643.74,7193.78,28203.30,-14,3,1,"","agencia"
